iter	Passed	Remaining
162	385	1981
163	387	1973
164	388	1965
165	389	1957
166	390	1949
167	392	1943
168	393	1936
169	394	1928
170	396	1922
171	398	1918
172	400	1914
173	401	1907
174	403	1900
175	404	1892
176	405	1885
177	406	1878
178	407	1871
179	409	1863
180	410	1856
181	411	1848
182	413	1845
183	415	1840
184	416	1833
185	417	1827
186	418	1820
187	419	1813
188	420	1805
189	422	1800
190	423	1793
191	425	1792
192	427	1786
193	429	1783
194	431	1779
195	432	1773
196	433	1767
197	434	1760
198	435	1754
199	437	1748
200	438	1742
201	439	1735
202	440	1729
203	441	1723
204	443	1718
205	444	1715
206	446	1711
207	448	1706
208	449	1700
209	450	1694
210	451	1688
211	452	1682
212	453	1676
213	454	1670
214	455	1664
215	456	1658
216	458	1652
217	460	1650
218	461	1645
219	462	1640
220	463	1635
221	465	1630
222	467	1627
223	468	1622
224	469	1616
225	470	1611
226	471	1606
227	472	1600
228	473	1594
229	475	1592
230	476	1587
231	477	1582
232	479	1577
233	480	1571
234	481	1566
235	482	1561
236	483	1556
237	484	1551
238	485	1546
239	486	1541
240	487	1536
241	489	1532
242	490	1529
243	492	1524
244	493	1519
245	494	1515
246	495	1510
247	496	1505
248	497	1500
249	498	1496
250	499	1491
251	500	1486
252	502	1482
253	503	1477
254	504	1473
255	505	1469
256	506	1464
257	507	1460
258	508	1456
259	510	1451
260	511	1447
261	512	1442
262	513	1438
263	514	1434
264	515	1430
265	516	1425
266	517	1421
267	519	1417
268	520	1413
269	521	1409
270	522	1405
271	523	1401
272	524	1397
273	525	1393
274	526	1389
275	527	1384
276	529	1380
277	530	1376
278	531	1373
279	532	1369
280	533	1364
281	534	1361
282	535	1357
283	537	1354
284	538	1351
285	539	1347
286	540	1343
287	542	1340
288	543	1336
289	544	1332
290	545	1329
291	546	1325
292	547	1321
293	548	1317
294	549	1314
295	551	1310
296	552	1306
297	553	1303
298	554	1299
299	555	1296
300	556	1292
301	557	1289
302	558	1285
303	559	1282
304	561	1278
305	562	1274
306	563	1271
307	564	1267
308	565	1264
309	566	1261
310	567	1257
311	568	1254
312	569	1251
313	571	1247
314	572	1244
315	573	1240
316	574	1237
317	575	1233
318	576	1230
319	577	1227
320	578	1223
321	579	1220
322	580	1217
323	581	1214
324	582	1210
325	584	1207
326	585	1204
327	586	1201
328	587	1198
329	588	1195
330	589	1191
331	590	1188
332	591	1185
333	593	1182
334	594	1179
335	595	1176
336	596	1173
337	597	1170
338	598	1167
339	599	1164
340	600	1161
341	602	1158
342	603	1155
343	604	1152
344	605	1149
345	606	1146
346	607	1143
347	608	1140
348	609	1137
349	610	1134
350	611	1131
351	613	1128
352	614	1125
353	615	1123
354	616	1120
355	617	1117
356	618	1114
357	619	1111
358	620	1108
359	622	1105
360	623	1102
361	624	1100
362	625	1097
363	626	1094
364	627	1091
365	628	1088
366	629	1086
367	630	1083
368	632	1080
369	633	1078
370	634	1075
371	635	1072
372	636	1069
373	637	1066
374	638	1064
375	639	1061
376	640	1059
377	641	1056
378	643	1053
379	644	1051
380	645	1048
381	646	1045
382	647	1043
383	648	1040
384	649	1038
385	650	1035
386	652	1032
387	653	1030
388	654	1027
389	655	1025
390	656	1022
391	657	1019
392	658	1017
393	659	1014
394	660	1012
395	661	1009
396	663	1007
397	664	1004
398	665	1002
399	666	999
400	667	997
401	668	994
402	669	992
403	670	989
404	671	987
405	673	984
406	674	982
407	675	979
408	676	977
409	677	974
410	678	972
411	679	970
412	680	967
413	681	965
414	683	962
415	684	960
416	685	958
417	686	955
418	687	953
419	688	951
420	689	948
421	690	946
422	691	943
423	693	941
424	694	939
425	695	936
426	696	934
427	697	932
428	698	929
429	699	927
430	700	925
431	701	922
432	702	920
433	703	918
434	705	915
435	706	913
436	707	911
437	708	908
438	709	906
439	710	904
440	711	902
441	712	900
442	713	897
443	715	895
444	716	893
445	717	891
446	718	888
447	719	886
448	720	884
449	721	882
450	722	879
451	723	877
452	725	875
453	726	873
454	727	871
455	728	869
456	729	866
457	730	864
458	731	862
459	732	860
460	733	858
461	735	856
462	736	853
463	737	851
464	738	849
465	739	847
466	740	845
467	741	843
468	742	841
469	743	838
470	745	836
471	746	834
472	747	832
473	748	830
474	749	828
475	750	826
476	751	824
477	753	822
478	754	820
479	755	818
480	756	816
481	757	814
482	759	812
483	760	810
484	761	808
485	762	806
486	763	804
487	764	802
488	765	800
489	766	798
490	767	796
491	769	794
492	770	792
493	771	789
494	772	788
495	773	786
496	774	784
497	775	782
498	776	780
499	778	778
500	779	776
501	780	774
502	781	772
503	782	770
504	783	768
505	784	766
506	786	764
507	787	762
508	788	760
509	789	758
510	790	756
511	791	754
512	792	752
513	793	750
514	794	748
515	796	746
516	797	744
517	798	742
518	799	740
519	800	738
520	801	736
521	802	734
522	803	733
523	804	731
524	806	729
525	807	727
526	808	725
527	809	723
528	810	721
529	811	719
530	812	717
531	813	716
532	814	714
533	816	712
534	817	710
535	818	708
536	819	706
537	821	705
538	822	703
539	823	701
540	824	699
541	825	697
542	826	696
543	828	694
544	829	692
545	830	690
546	831	688
547	832	686
548	833	684
549	835	683
550	836	681
551	837	679
552	838	677
553	839	675
554	840	674
555	841	672
556	842	670
557	843	668
558	844	666
559	845	664
560	846	662
561	847	660
562	849	659
563	850	657
564	851	655
565	852	654
566	854	652
567	855	650
568	856	648
569	857	646
570	858	645
571	859	643
572	860	641
573	861	639
574	862	637
575	864	636
576	865	634
577	866	632
578	868	631
579	869	629
580	870	627
581	871	625
582	872	624
583	873	622
584	875	620
585	876	618
586	877	617
587	877	615
588	878	613
589	880	611
590	881	610
591	882	608
592	884	606
593	885	604
594	886	603
595	887	601
596	888	600
597	890	598
598	891	596
599	892	594
600	893	593
601	895	591
602	897	590
603	898	589
604	900	587
605	901	585
606	902	584
607	904	583
608	905	581
609	906	579
610	907	577
611	908	576
612	910	574
613	911	573
614	913	572
615	915	570
616	917	569
617	918	567
618	920	566
619	921	564
620	922	563
621	924	561
622	925	559
623	926	558
624	927	556
625	929	555
626	931	553
627	932	552
628	933	550
629	935	549
630	936	547
631	937	546
632	939	544
633	940	542
634	941	541
635	942	539
636	944	538
637	946	536
638	947	535
639	948	533
640	949	532
641	951	530
642	952	528
643	953	526
644	954	525
645	955	523
646	956	521
647	957	520
648	959	518
649	961	517
650	962	516
651	963	514
652	964	512
653	965	510
654	966	509
655	967	507
656	969	505
657	970	504
658	971	502
659	972	500
660	973	499
661	975	498
662	977	496
663	978	495
664	979	493
665	980	491
666	981	490
667	982	488
668	983	486
669	984	485
670	986	483
671	987	481
672	988	480
673	989	478
674	991	477
675	992	475
676	993	474
677	994	472
678	996	470
679	997	469
680	998	467
681	999	465
682	1000	464
683	1001	462
684	1002	461
685	1003	459
686	1004	457
687	1006	456
688	1008	455
689	1009	453
690	1010	451
691	1011	450
692	1012	448
693	1013	447
694	1014	445
695	1016	443
696	1017	442
697	1018	440
698	1019	439
699	1020	437
700	1022	436
701	1024	434
702	1025	433
703	1026	431
704	1027	429
705	1028	428
706	1029	426
707	1030	425
708	1032	423
709	1033	422
710	1034	420
711	1035	418
712	1036	417
713	1038	416
714	1040	414
715	1041	413
716	1042	411
717	1043	409
718	1044	408
719	1045	406
720	1046	405
721	1047	403
722	1048	401
723	1049	400
724	1050	398
725	1052	397
726	1054	395
727	1055	394
728	1056	392
729	1058	391
730	1059	389
731	1060	388
732	1061	386
733	1062	385
734	1063	383
735	1064	381
736	1065	380
737	1066	378
738	1068	377
739	1070	375
740	1071	374
741	1072	372
742	1073	371
743	1074	369
744	1075	368
745	1076	366
746	1077	364
747	1078	363
748	1079	361
749	1080	360
750	1081	358
751	1082	357
752	1084	355
753	1086	354
754	1087	352
755	1088	351
756	1089	349
757	1090	348
758	1091	346
759	1092	345
760	1093	343
761	1094	342
762	1096	340
763	1097	338
764	1098	337
765	1099	335
766	1100	334
767	1101	332
768	1102	331
769	1104	329
770	1105	328
771	1106	326
772	1107	325
773	1108	323
774	1109	322
775	1110	320
776	1111	319
777	1112	317
778	1113	316
779	1115	314
780	1116	313
781	1117	311
782	1118	310
783	1119	308
784	1120	306
785	1121	305
786	1123	303
787	1124	302
788	1125	300
789	1126	299
790	1127	297
791	1128	296
792	1129	294
793	1131	293
794	1132	291
795	1133	290
796	1134	288
797	1135	287
798	1136	285
799	1137	284
800	1138	282
801	1139	281
802	1140	279
803	1141	278
804	1142	276
805	1143	275
806	1144	273
807	1145	272
808	1147	270
809	1148	269
810	1149	267
811	1150	266
812	1152	264
813	1153	263
814	1154	262
815	1155	260
816	1156	259
817	1157	257
818	1158	256
819	1159	254
820	1160	253
821	1162	251
822	1163	250
823	1164	248
824	1165	247
825	1166	245
826	1167	244
827	1168	242
828	1169	241
829	1170	239
830	1171	238
831	1173	236
832	1174	235
833	1175	233
834	1176	232
835	1177	231
836	1178	229
837	1180	228
838	1181	226
839	1182	225
840	1183	223
841	1184	222
842	1185	220
843	1186	219
844	1188	217
845	1189	216
846	1190	215
847	1191	213
848	1192	212
849	1194	210
850	1195	209
851	1196	207
852	1197	206
853	1198	204
854	1199	203
855	1200	202
856	1202	200
857	1203	199
858	1204	197
859	1205	196
860	1206	194
861	1207	193
862	1208	191
863	1209	190
864	1211	189
865	1212	187
866	1213	186
867	1214	184
868	1215	183
869	1216	181
870	1217	180
871	1218	178
872	1219	177
873	1220	176
874	1221	174
875	1222	173
876	1224	171
877	1225	170
878	1226	168
879	1227	167
880	1228	165
881	1229	164
882	1230	163
883	1232	161
884	1233	160
885	1234	158
886	1235	157
887	1236	155
888	1237	154
889	1238	153
890	1239	151
891	1240	150
892	1241	148
893	1243	147
894	1244	145
895	1245	144
896	1246	143
897	1247	141
898	1248	140
899	1249	138
900	1250	137
901	1251	136
902	1252	134
903	1253	133
904	1255	131
905	1256	130
906	1257	128
907	1258	127
908	1259	126
909	1260	124
910	1261	123
911	1262	121
912	1264	120
913	1265	119
914	1266	117
915	1267	116
916	1268	114
917	1269	113
918	1270	112
919	1272	110
920	1273	109
921	1274	107
922	1275	106
923	1275	104
924	1277	103
925	1278	102
926	1279	100
927	1280	99
928	1281	97
929	1282	96
930	1284	95
931	1285	93
932	1286	92
933	1287	90
934	1288	89
935	1289	88
936	1290	86
937	1291	85
938	1293	83
939	1294	82
940	1295	81
941	1296	79
942	1297	78
943	1298	77
944	1299	75
945	1300	74
946	1301	72
947	1303	71
948	1304	70
949	1305	68
950	1306	67
951	1307	65
952	1308	64
953	1309	63
954	1310	61
955	1311	60
956	1313	58
957	1314	57
958	1315	56
959	1316	54
960	1317	53
961	1318	52
962	1319	50
963	1321	49
964	1322	47
965	1323	46
966	1324	45
967	1325	43
968	1326	42
969	1327	41
970	1328	39
971	1329	38
972	1330	36
973	1331	35
974	1332	34
975	1334	32
976	1335	31
977	1336	30
978	1337	28
979	1338	27
980	1339	25
981	1340	24
982	1341	23
983	1343	21
984	1344	20
985	1345	19
986	1346	17
987	1347	16
988	1348	14
989	1349	13
990	1350	12
991	1351	10
992	1353	9
993	1354	8
994	1356	6
995	1357	5
996	1359	4
997	1360	2
998	1362	1
999	1363	0
